[0000000025ns] mem rd: pc = 00000000, addr = 1c000000, data = 0380200c
[0000000029ns] mem rd: pc = 00000000, addr = 1c000004, data = 0380600d
[0000000033ns] mem rd: pc = 00000000, addr = 1c000008, data = 040001ac
[0000000041ns] mem rd: pc = 00000000, addr = 1c00000c, data = 04060020
[0000000077ns] mem rd: pc = 00000000, addr = 1c000010, data = 04060420
[0000000081ns] mem rd: pc = 00000000, addr = 1c000014, data = 0380640c
[0000000083ns] mem rd: pc = 00000000, addr = 1c000018, data = 0406002c
[0000000085ns] mem rd: pc = 1c00000c, addr = 1c00001c, data = 1540000c
[0000000095ns] mem rd: pc = 1c00000c, addr = 1c000010, data = 04060420
[0000000099ns] mem rd: pc = 1c00000c, addr = 1c000014, data = 0380640c
[0000000103ns] mem rd: pc = 1c00000c, addr = 1c000018, data = 0406002c
[0000000107ns] mem rd: pc = 1c00000c, addr = 1c00001c, data = 1540000c
[0000000173ns] mem rd: pc = 00000000, addr = 1c000020, data = 0380258c
[0000000177ns] mem rd: pc = 00000000, addr = 1c000024, data = 0406042c
[0000000185ns] mem rd: pc = 1c00001c, addr = 1c000028, data = 0380400c
[0000000187ns] mem rd: pc = 1c00001c, addr = 1c00002c, data = 0380600d
[0000000201ns] mem rd: pc = 1c00001c, addr = 1c000020, data = 0380258c
[0000000203ns] mem rd: pc = 1c00001c, addr = 1c000024, data = 0406042c
[0000000205ns] mem rd: pc = 1c00001c, addr = 1c000028, data = 0380400c
[0000000209ns] mem rd: pc = 1c00001c, addr = 1c00002c, data = 0380600d
[0000000259ns] mem rd: pc = 1c00002c, addr = 1c000030, data = 040001ac
[0000000261ns] mem rd: pc = 1c00002c, addr = 1c000034, data = 1c00014c
[0000000263ns] mem rd: pc = 1c00002c, addr = 1c000038, data = 02a2b18c
[0000000265ns] mem rd: pc = 1c00002c, addr = 1c00003c, data = 1c00100d
[0000000321ns] mem rd: pc = 1c00003c, addr = 1c000040, data = 02bf11ad
[0000000325ns] mem rd: pc = 1c00003c, addr = 1c000044, data = 1c00102e
[0000000327ns] mem rd: pc = 1c00003c, addr = 1c000048, data = 02a571ce
[0000000329ns] mem rd: pc = 1c00003c, addr = 1c00004c, data = 6c0019ae
[0000000367ns] mem rd: pc = 1c00004c, addr = 1c000050, data = 2880018f
[0000000369ns] mem rd: pc = 1c00004c, addr = 1c000054, data = 298001af
[0000000371ns] mem rd: pc = 1c00004c, addr = 1c000058, data = 0280118c
[0000000385ns] mem rd: pc = 1c00004c, addr = 1c00005c, data = 028011ad
[0000000403ns] mem rd: pc = 1c00004c, addr = 1c0098e0, data = 6165520a
[0000000419ns] mem wr: pc = 1c000050, addr = 1c080000, data = 6165520a
[0000000447ns] mem rd: pc = 1c00005c, addr = 1c000060, data = 6bfff1ae
[0000000451ns] mem rd: pc = 1c00005c, addr = 1c000064, data = 1c00102c
[0000000455ns] mem rd: pc = 1c00005c, addr = 1c000068, data = 02a4f18c
[0000000463ns] mem rd: pc = 1c00005c, addr = 1c00006c, data = 1c00102d
[0000000493ns] mem rd: pc = 1c000060, addr = 1c0098e4, data = 75206863
[0000000509ns] mem wr: pc = 1c000050, addr = 1c080004, data = 75206863
[0000000547ns] mem rd: pc = 1c000060, addr = 1c0098e8, data = 7078656e
[0000000561ns] mem wr: pc = 1c000050, addr = 1c080008, data = 7078656e
[0000000609ns] mem rd: pc = 1c000060, addr = 1c0098ec, data = 65746365
[0000000627ns] mem wr: pc = 1c000050, addr = 1c08000c, data = 65746365
[0000000665ns] mem rd: pc = 1c000060, addr = 1c0098f0, data = 78652064
[0000000689ns] mem wr: pc = 1c000050, addr = 1c080010, data = 78652064
[0000000733ns] mem rd: pc = 1c000060, addr = 1c0098f4, data = 3d3d000a
[0000000753ns] mem wr: pc = 1c000050, addr = 1c080014, data = 3d3d000a
[0000000791ns] mem rd: pc = 1c000060, addr = 1c0098f8, data = 3d3d3d3d
[0000000805ns] mem wr: pc = 1c000050, addr = 1c080018, data = 3d3d3d3d
